Year,Agricultural land (sq. km),Cereal yield (kg per hectare),Forest area (% of land area),Permanent cropland (% of land area),"Foreign direct investment, net inflows (BoP, current million US$)",GDP (current million US$),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, female (years)","Literacy rate, youth total (% of people ages 15-24)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","Population, total (million people)",Rural population,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, male (% gross)",Urban population (% of total population),Electricity consumption (GWh)-1_x,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kt),CO2 intensity (kg per kg of oil equivalent energy use),Electric power consumption (kWh per capita),Electric power transmission and distribution losses (% of output),Electricity consumption (GWh),Electricity production from hydroelectric sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy intensity level of primary energy (MJ/$2011 PPP GDP),Power outages in firms in a typical month (number),Renewable energy consumption (% of total final energy consumption),Electricity consumption (GWh)-1_y
1985,88360.0,819.9,0.0,0.135043889264011,15.8036619737062,3750.05642449274,579.48801296747,0.0,55.41,0.0,0.0,6.471327,4041408.0,1.53817999362946,52.06005859375,33.89343,48.52876,16.6259994506836,37.549,689.9999999999984,0.0,0.0,0.372775743450038,2676.91,1.71519830845134,104.151745074851,16.0647571606476,674.0000000000002,0.0,94.7696139476961,94.7696139476961,42000000.0,0.0,0.0,0.0,689.9999999999984
1986,88340.0,761.7,0.0,0.140237885004934,8.431851637610109,5304.238012679711,795.159043813143,0.0,56.343,0.0,0.0,6.670663,4141881.0,1.97230994701385,53.9548301696777,37.53358,54.15046,17.8875694274902,37.909,674.0000000000002,0.0,0.0,0.359539452084344,2662.242,1.63020790915754,101.639072458015,15.3558052434457,677.9999999999997,0.0,94.7565543071161,94.7565543071161,42000000.0,0.0,0.0,0.0,674.0000000000002
1987,88320.0,841.4,0.0,0.145431880745858,3.95958478559528,6381.38575978027,928.099777825133,0.0,57.171,0.0,0.0,6.875754,4244334.0,1.96025002002716,54.5733108520508,38.15919,54.176215,18.21468925476075,38.271,677.9999999999997,0.0,0.0,0.312279655997998,2453.223,1.40951268503559,103.406840907921,17.8034682080925,711.0000000000015,0.0,94.9132947976879,95.028901734104,43000000.0,0.0,0.0,0.0,677.9999999999997
1988,88300.0,712.1,0.0,0.166207863709552,14.9404955908049,6311.05490148841,890.558357521626,0.0,57.868,37.8661003112793,0.0,7.086627,4350268.0,2.08348989486694,55.3095397949219,38.7848,54.20197,18.5418090820313,38.613,711.0000000000015,0.0,0.0,0.351236563268283,2742.916,1.65730599470105,104.563144074043,16.8350168350168,741.0000000000031,0.0,92.2558922558923,95.1739618406285,43000000.0,0.0,0.0,0.0,711.0000000000015
1989,88270.0,847.3,0.0,0.171401859450475,26.801810528833,6219.793532558751,851.616218947494,0.0,58.422,38.670270919799805,0.0,7.303517,4473039.0,2.12755990028381,54.6141395568848,38.557355,52.77982,19.894889831543,38.755,741.0000000000031,0.0,0.0,0.455216289849686,3696.336,2.24721767942366,100.636446796797,20.1954397394137,735.0000000000025,0.0,92.1824104234528,95.3311617806732,43000000.0,0.0,0.0,0.0,741.0000000000031
1990,88690.0,795.0,48.3205734171298,0.171401859450475,56.8931447815232,7237.10072434196,961.573946470954,0.0,58.817,39.47444152832031,100.0,7.526307,4598875.0,2.15959000587463,54.6507911682129,38.32991,51.35767,20.2366504669189,38.896,735.0000000000025,0.0,0.0,0.394658266964991,3182.956,1.88743094741686,103.636484666384,17.4603174603175,779.9999999999985,0.0,93.015873015873,95.3439153439153,44000000.0,5.04207757414802,0.0,55.5510111313875,735.0000000000025
1991,87090.0,822.6,48.0868436087882,0.186983846673246,7.55032908975467,7111.25286584624,916.930763144774,0.0,59.048,40.27861213684082,100.0,7.755496,4727905.0,2.26287007331848,54.8152389526367,38.293505,50.850465,20.34186553955075,39.038,779.9999999999985,0.0,0.0,0.41408359110681,3424.978,2.04645635134505,102.636891309079,17.8534571723426,795.999999999997,0.0,93.7048503611971,95.4592363261094,44000000.0,4.87915848889042,0.0,55.2735459856467,779.9999999999985
1992,87800.0,798.6,47.8531138004467,0.186983846673246,21.3833597563283,7602.00527443616,951.428527821963,0.0,59.14,41.08278274536133,100.0,7.990096,4859576.0,2.26074004173279,54.2021293640137,38.2571,50.34326,20.4470806121826,39.18,795.999999999997,0.0,0.0,0.415569690607453,3479.983,1.95612909390871,109.260264207088,17.0152091254753,872.999999999997,0.0,94.7718631178707,95.722433460076,45000000.0,5.12278044353619,0.0,53.6618832628227,795.999999999997
1993,88180.0,836.5,47.6193839921051,0.186983846673246,0.812254219488015,7189.22645328161,873.883090461082,0.0,59.134,41.88695335388184,100.0,8.22676,4991916.0,2.2389600276947,53.4124984741211,39.71932,51.488172500000005,19.94298315048217,39.321,872.999999999997,4.87466167299289,58.6,0.423634125527473,3593.66,2.02691871873532,104.41534698958,17.1648987463838,858.9999999999972,0.0,90.9353905496625,95.6605593056895,45000000.0,5.03980802905729,0.0,55.0853366292708,872.999999999997
1994,89150.0,757.7,47.3856541837636,0.192177842414169,66.8762355407485,4908.415368782,580.117707218758,0.0,59.063,42.69112396240234,100.0,8.461068,5121992.0,2.16855001449585,54.3690414428711,41.18154,52.633085,19.43888568878175,39.464,858.9999999999972,2.06041121315313,66.1726684570313,0.460025338222648,3901.688,2.21568228822982,110.033390583789,12.9906542056075,930.9999999999984,0.0,89.3457943925234,95.7943925233645,45000000.0,5.00649351164901,0.0,54.7505208242093,858.9999999999972
