2nd order,Gradient_Boosting,Linear_Regression
MAE,91.32145010717086,4.288985540992335e-10
MSE,17419.13854903259,2.578546614167828e-19
RMSE,131.98158412836463,5.07793916285714e-10
cvRMSE,0.041507517304316344,1.5969852844587923e-13
