,y_test,y_pred_GB,y_pred_LR
0,15019.919542312622,15174.041318241154,15168.0
1,19790.897959709167,18754.409188348047,18496.0
2,328.16169261932373,406.8581121799777,2432.0
3,470.19122886657715,499.2095203066053,1408.0
4,770.8039312362671,748.0554797013601,0.0
5,368.5331211090088,406.8581121799777,2240.0
6,3059.7780084609985,3246.8144641651115,3520.0
7,826.8537282943726,833.6395003448647,-128.0
8,20869.447303771973,21990.894030243606,19008.0
9,284.1520643234253,406.8581121799777,2624.0
10,1034.6455688476562,1089.29833166842,-64.0
11,7651.78621006012,7346.321028696797,8320.0
12,1226.1543684005737,1311.6633828681338,384.0
13,439.2980012893677,406.8581121799777,1856.0
14,2276.025429725647,2116.0158018521784,1984.0
15,1390.8169031143188,1463.4942952353276,768.0
16,5452.024638175964,5118.223881917831,6208.0
17,2450.2795515060425,2637.7582080528587,2240.0
18,9889.539940834045,9749.241972213611,10752.0
