4th order,Gradient_Boosting,Linear_Regression
MAE,219.4581553768368,1026.9758050818193
MSE,142979.58062924136,1440357.6009831429
RMSE,378.12640826744877,1200.1489911603237
cvRMSE,0.07675699552753876,0.2436217855530386
